Planet Name,Host Star,Number of Stars,Number of Planets,Number of Moons,Discovery Facility,Discovery Method,Discovery Telescope,Discovery Instrument,Discovery Year,Planet Radius [Earth radii],Planet Mass [Earth mass],Planet Density [g/cm^3],Equilibrium Temperature [K],Distance from Earth [pc],Spectral Type
55 Cnc e,55 Cnc,2,5,0,McDonald Observatory,Radial Velocity,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,2004-01-01,2.08,7.81,4.78,1958.0,12.5855,
AU Mic b,AU Mic,1,2,0,Transiting Exoplanet Survey Satellite (TESS),Transit,0.1 m TESS Telescope,TESS CCD Array,2020-01-01,4.07,17.0,1.4,593.0,9.7221,
AU Mic c,AU Mic,1,2,0,Transiting Exoplanet Survey Satellite (TESS),Transit,0.1 m TESS Telescope,TESS CCD Array,2021-01-01,3.24,13.6,2.3,454.0,9.7221,
BD+20 594 b,BD+20 594,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2016-01-01,2.23,16.3,7.89,546.0,179.461,G
CoRoT-1 b,CoRoT-1,1,1,0,CoRoT,Transit,0.27 m CoRoT Telescope,CoRoT CCD Array,2008-01-01,15.917,340.0781,0.44,1834.0,787.909,
CoRoT-1 b,CoRoT-1,1,1,0,CoRoT,Transit,0.27 m CoRoT Telescope,CoRoT CCD Array,2008-01-01,16.7,327.35,0.38,1898.0,787.909,G
CoRoT-1 b,CoRoT-1,1,1,0,CoRoT,Transit,0.27 m CoRoT Telescope,CoRoT CCD Array,2008-01-01,17.385,327.3649,0.344,1915.0,787.909,
CoRoT-10 b,CoRoT-10,1,1,0,CoRoT,Transit,0.27 m CoRoT Telescope,CoRoT CCD Array,2010-01-01,10.87,874.0,3.7,600.0,338.386,K
CoRoT-10 b,CoRoT-10,1,1,0,CoRoT,Transit,0.27 m CoRoT Telescope,CoRoT CCD Array,2010-01-01,10.548,883.5674,4.16,647.0,338.386,
CoRoT-11 b,CoRoT-11,1,1,0,CoRoT,Transit,0.27 m CoRoT Telescope,CoRoT CCD Array,2010-01-01,15.984,743.7222,1.0,1735.0,655.037,
CoRoT-11 b,CoRoT-11,1,1,0,CoRoT,Transit,0.27 m CoRoT Telescope,CoRoT CCD Array,2010-01-01,16.03,740.51,0.99,1657.0,655.037,F
CoRoT-11 b,CoRoT-11,1,1,0,CoRoT,Transit,0.27 m CoRoT Telescope,CoRoT CCD Array,2010-01-01,15.581,791.3967,0.93,1715.0,655.037,
